0:0:0:0:0:0:0:1 - - [14/Mar/2023:18:30:49 +0900] "GET /damin/resources/upload/p_image/ HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [14/Mar/2023:18:30:50 +0900] "GET /damin/mall/delete?mode=&p_seq=17 HTTP/1.1" 200 25
0:0:0:0:0:0:0:1 - - [14/Mar/2023:18:30:50 +0900] "GET /damin/mall/none HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [14/Mar/2023:18:30:51 +0900] "GET /damin/mall/list HTTP/1.1" 200 15940
0:0:0:0:0:0:0:1 - - [14/Mar/2023:18:30:51 +0900] "GET /damin/resources/upload/p_image/ HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [14/Mar/2023:18:30:51 +0900] "GET /damin/resources/upload/p_image/530_1(14).jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2023:18:30:51 +0900] "GET /damin/resources/upload/p_image/530_2(16).jpg HTTP/1.1" 200 191298
0:0:0:0:0:0:0:1 - - [14/Mar/2023:18:30:52 +0900] "GET /damin/mall/view?p_seq=18 HTTP/1.1" 200 11514
0:0:0:0:0:0:0:1 - - [14/Mar/2023:18:30:52 +0900] "GET /damin/resources/upload/p_image/530_2(16).jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2023:18:30:52 +0900] "GET /damin/resources/upload/p_image/530_3(14).jpg HTTP/1.1" 200 117564
0:0:0:0:0:0:0:1 - - [14/Mar/2023:18:30:52 +0900] "GET /damin/resources/upload/p_image/ HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [14/Mar/2023:18:30:58 +0900] "GET /damin/mall/view?p_seq=18 HTTP/1.1" 200 11514
0:0:0:0:0:0:0:1 - - [14/Mar/2023:18:30:58 +0900] "GET /damin/resources/upload/p_image/530_3(14).jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2023:18:30:58 +0900] "GET /damin/resources/upload/p_image/530_2(16).jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2023:18:30:58 +0900] "GET /damin/resources/upload/p_image/ HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [14/Mar/2023:18:31:01 +0900] "GET /damin/mall/view?p_seq=1 HTTP/1.1" 200 11485
0:0:0:0:0:0:0:1 - - [14/Mar/2023:18:31:01 +0900] "GET /damin/resources/upload/p_image/ HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [14/Mar/2023:18:31:04 +0900] "GET /damin/mall/update?mode=update&p_seq=1 HTTP/1.1" 200 10616
0:0:0:0:0:0:0:1 - - [14/Mar/2023:18:31:10 +0900] "POST /damin/mall/save HTTP/1.1" 200 43
0:0:0:0:0:0:0:1 - - [14/Mar/2023:18:31:12 +0900] "GET /damin/mall/list HTTP/1.1" 200 16346
0:0:0:0:0:0:0:1 - - [14/Mar/2023:18:31:12 +0900] "GET /damin/resources/upload/p_image/530_1(14).jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2023:18:31:12 +0900] "GET /damin/resources/upload/p_image/ HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [14/Mar/2023:18:31:12 +0900] "GET /damin/resources/upload/p_image/530_1(15).jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [14/Mar/2023:18:31:12 +0900] "GET /damin/resources/upload/p_image/530_2(16).jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2023:18:31:14 +0900] "GET /damin/mall/list HTTP/1.1" 200 16346
0:0:0:0:0:0:0:1 - - [14/Mar/2023:18:31:14 +0900] "GET /damin/resources/upload/p_image/530_1(15).jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [14/Mar/2023:18:31:14 +0900] "GET /damin/resources/upload/p_image/ HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [14/Mar/2023:18:31:15 +0900] "GET /damin/mall/list HTTP/1.1" 200 16346
0:0:0:0:0:0:0:1 - - [14/Mar/2023:18:31:15 +0900] "GET /damin/resources/upload/p_image/ HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [14/Mar/2023:18:31:15 +0900] "GET /damin/resources/upload/p_image/530_2(16).jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2023:18:31:15 +0900] "GET /damin/resources/upload/p_image/530_1(15).jpg HTTP/1.1" 404 721
